topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,2.840909090909094,-34.65909090909091,52.84090909090909,11,16,11.0,16.0,1.0,1.0
criminal,gender,choice_chosen_side,neg,2.857142857142858,-33.80952380952381,52.85714285714286,21,15,21.0,15.0,1.0,1.0
criminal,gender,choice_chosen_side_soft,pos,0.8417508417508435,-41.75084175084175,50.841750841750844,22,27,22.0,27.0,1.0,1.0
criminal,gender,choice_chosen_side_soft,neg,-0.9259259259259245,-34.25925925925926,49.074074074074076,27,24,27.0,24.0,1.0,1.0
criminal,gender,choice_first_touch_side,pos,1.6666666666666718,-38.333333333333336,51.66666666666667,15,20,15.0,20.0,1.0,1.0
criminal,gender,choice_first_touch_side,neg,2.1739130434782594,-30.434782608695656,52.17391304347826,23,23,23.0,23.0,1.0,1.0
education,gender,choice_chosen_side,pos,-15.296052631578949,-28.45394736842105,34.70394736842105,16,19,16.0,19.0,0.047247982012099,0.47247982012099005
education,gender,choice_chosen_side,neg,0.0,-50.0,50.0,9,12,9.0,12.0,1.0,1.0
education,gender,choice_chosen_side_soft,pos,-9.629629629629633,-33.7037037037037,40.37037037037037,30,27,30.0,27.0,0.07001843799720846,0.6191105745663854
education,gender,choice_chosen_side_soft,neg,0.0,-50.0,50.0,13,22,13.0,22.0,1.0,1.0
education,gender,choice_first_touch_side,pos,-10.037878787878785,-30.87121212121212,39.96212121212122,22,24,22.0,24.0,0.13858370784065618,0.8539718854961226
education,gender,choice_first_touch_side,neg,0.0,-50.0,50.0,13,12,13.0,12.0,1.0,1.0
janitor,gender,choice_chosen_side,pos,-3.498985801217036,25.912778904665313,46.50101419878296,29,34,28.999999999999996,34.0,0.5639688896371735,1.0
janitor,gender,choice_chosen_side,neg,-2.706766917293235,-15.864661654135336,47.29323308270676,35,19,35.0,19.0,0.7664170107549322,1.0
janitor,gender,choice_chosen_side_soft,pos,-4.311454311454311,21.879021879021877,45.68854568854569,37,42,37.0,42.0,0.45587132565693356,1.0
janitor,gender,choice_chosen_side_soft,neg,-0.6249999999999978,-19.375,49.375,40,32,40.0,32.0,1.0,1.0
janitor,gender,choice_first_touch_side,pos,0.49934867564046526,23.968736430742506,50.49934867564046,47,49,47.0,49.0,1.0,1.0
janitor,gender,choice_first_touch_side,neg,3.7846930193439876,-22.07737594617325,53.78469301934399,41,29,41.0,28.999999999999996,0.5951177681787634,1.0
pilot,gender,choice_chosen_side,pos,-2.134724857685011,-3.747628083491461,47.86527514231499,34,31,34.0,31.0,0.8057722135019608,1.0
pilot,gender,choice_chosen_side,neg,-5.098684210526317,-26.151315789473685,44.901315789473685,32,38,32.0,38.0,0.4062600419333371,1.0
pilot,gender,choice_chosen_side_soft,pos,-0.24570024570024218,-4.299754299754302,49.75429975429976,44,37,44.0,37.0,1.0,1.0
pilot,gender,choice_chosen_side_soft,neg,-7.745550428477255,-26.038233355306527,42.25444957152275,37,41,37.0,41.0,0.12382211491327708,0.6191105745663854
pilot,gender,choice_first_touch_side,pos,-3.9180990899898904,0.42972699696663397,46.08190091001011,43,46,43.0,46.0,0.5272488417181345,1.0
pilot,gender,choice_first_touch_side,neg,-2.4609843937575038,-23.04921968787515,47.539015606242494,49,51,49.0,51.0,0.65522542939128,1.0
wealthy,gender,choice_chosen_side,pos,-9.615384615384615,9.615384615384615,40.38461538461539,26,26,26.0,26.0,0.25814252635676466,1.0
wealthy,gender,choice_chosen_side,neg,1.2184873949579789,34.075630252100844,51.218487394957975,34,35,34.0,35.0,1.0,1.0
wealthy,gender,choice_chosen_side_soft,pos,-6.386554621848739,9.327731092436975,43.61344537815126,34,35,34.0,35.0,0.33187776554503945,1.0
wealthy,gender,choice_chosen_side_soft,neg,1.4939024390243971,28.993902439024392,51.493902439024396,41,40,41.0,40.0,0.7902414782697915,1.0
wealthy,gender,choice_first_touch_side,pos,-8.505315822388992,9.787367104440273,41.494684177611006,39,41,39.0,41.0,0.17079437709922451,0.8539718854961226
wealthy,gender,choice_first_touch_side,neg,2.3255813953488413,31.3953488372093,52.32558139534884,43,43,43.0,43.0,0.7824744484894339,1.0
